Type,Ville,adresse,Latitude,Longitude,source (lien),jour de la semaine,heure debut,heure fin,commentaire
Mixte,Montcresson,Allée des Pigeonniers,47.905687,2.807033,,samedi,08:00,13:00,
Alimentaires,NEUVILLE AUX BOIS,Place du Gal LECLERC,48.069944,2.053685,,lundi,07:00,13:00,
Mixte,NOGENT SUR VERNISSON,place de la république,47.846772,2.741430,,jeudi,08:00,13:00,
Mixte,OLIVET,Rue des Fauvettes,47.873328,1.901656,,mercredi,08:00,13:00,
Mixte,OLIVET,Place Louis Sallé,47.865032,1.901530,,vendredi,12:00,19:00,
Alimentaires,ORLEANS,Place de la Bascule,47.894302,1.906877,,Mardi,08:00,12:00,
Alimentaires,ORLEANS,rue Eugène Turbat,47.888036,1.906260,,Jeudi,07:30,12:30,
Alimentaires,ORLEANS,Place Albert Camus,47.834712,1.936326,,Samedi,07:30,12:30,
Alimentaires,ORLEANS,rue Paul Lemesle,47.914429,1.934273,,Vendredi,07:30,12:30,
Alimentaires,ORLEANS,Rue Docteur Guy Civil,47.923657,1.927448,,jeudi ,15:00,19:00,
Alimentaires,ORLEANS,Place de la République,47.901206,1.906013,,Mercredi,15:00,19:30,
Alimentaires,ORLEANS,Place Dunois,47.907908,1.893783,,Jeudi,15:00,19:30,
Alimentaires,ORLEANS,Place du Martroi,47.902512,1.904933,,Vendredi,16:30,21:30,
Mixte,ORLEANS,rue Charles le Chauve,47.923905,1.893089,,Mardi,07:30,12:30,
Mixte,ORLEANS,Place Charles d’Orléans,47.912606,1.908346,,Mercredi,07:30,12:30,
Mixte,ORLEANS,Place Albert Camus,47.834892,1.936158,,Jeudi,07:30,12:30,
Mixte,ORLEANS,allées Pierre Chevallier Accueil de,47.902024,1.880852,,Dimanche,08:00,12:30,
Non alimentaire,ORLEANS,rue Monseigneur Vié et rue des Jacobins Accueil de,47.915471,1.935363,,Vendredi,07:30,12:30,
Non alimentaire,ORLEANS,allées Pierre Chevallier,47.901987,1.880779,,Dimanche,08:00,13:30,
Non alimentaire,ORLEANS,boulevard Alexandre Martin,47.905217,1.910736,,Samedi,07:00,14:00,
Non alimentaire,ORLEANS,Place du Martroi,47.902512,1.904933,,Vendredi,08:00,19:00,
Alimentaires,ORMES,rue (Halle?) de la Poule Blanche,47.940637,1.820794,,dimanche,08:00,12:00,
Mixte,OUZOUER SUR LOIRE,place de l’Eglise,47.766559,2.480506,,dimanche,07:00,13:00,
Mixte,OUZOUER SUR TREZEE,Place de la Libération ,47.670446,2.810498,,dimanche,07:00,13:00,
Mixte,PANNES,Centre bourg,48.017890,2.668974,,dimanche,08:00,12:00,
Mixte,PANNES,Centre bourg,48.017890,2.668974,,jeudi,08:00,18:00,
Mixte,PATAY,place Jeanne d’arc,48.046151,1.696078,,mardi,13:30,19:00,après midi
Mixte,PITHIVIERS,haut du Mail Ouest,48.173806,2.253435,,mercredi,08:00,13:00,"emplacement provisoire jusqu'au mercredi 21 novembre 2019, pendant les travaux de la Place des Halles en travaux"
Mixte,PITHIVIERS,Place Maurice Ravel,48.176780,2.266233,,vendredi,08:00,18:00,
Mixte,PITHIVIERS,Mail ouest,48.173806,2.253435,,samedi,08:00,18:00,"sur la partie centrale du Mail Ouest du niveau du pavillon Sellier jusque sur le parking du mail Nord inclus, emplacement provisoire jusqu'au samedi 17 novembre 2019, pendant les travaux de la Place des Halles en travaux"
