code,title FR,title EN
1,Pas de vigilance particulière requise,No special vigilance required
2,Risque de crue génératrice de débordements,Risk of floods generating overflows
3,Risque de crue génératrice de débordements importants,Risk of flooding leading to major overflows
5,Risque de crue majeure,Major flood risk
